millis,stampunix,datetime,RH%,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1682950972, 2023/5/1 14:22:52, 41.50, 25.20, 183.94, 1833.19, 1240.23, 0.00, 0.00, 0.00, 1, 1
5999, 1682950974, 2023/5/1 14:22:54, 41.50, 25.20, 184.88, 1835.44, 1240.23, 0.00, 0.00, 0.00, 2, 1
7999, 1682950976, 2023/5/1 14:22:56, 41.40, 25.20, 180.19, 1834.88, 1240.23, 0.00, 0.00, 0.00, 3, 1
9999, 1682950978, 2023/5/1 14:22:58, 40.00, 25.20, 177.56, 1834.88, 1240.23, 0.00, 0.00, 0.00, 4, 1
11999, 1682950980, 2023/5/1 14:23:0, 39.40, 25.20, 177.56, 1837.69, 1240.23, 0.00, 0.00, 0.00, 5, 1
14000, 1682950982, 2023/5/1 14:23:2, 39.20, 25.20, 178.31, 1837.69, 1240.23, 0.00, 0.00, 0.00, 6, 1
16000, 1682950984, 2023/5/1 14:23:4, 38.80, 25.20, 179.63, 1837.13, 1240.23, 0.00, 0.00, 0.00, 7, 1
17999, 1682950986, 2023/5/1 14:23:6, 38.60, 25.20, 180.94, 1837.69, 1240.23, 0.00, 0.00, 0.00, 8, 1
19999, 1682950988, 2023/5/1 14:23:8, 38.40, 25.20, 182.63, 1837.50, 1240.23, 0.00, 0.00, 0.00, 9, 1
21999, 1682950990, 2023/5/1 14:23:10, 38.30, 25.20, 184.50, 1837.13, 1240.23, 0.00, 0.00, 0.00, 10, 1
23999, 1682950992, 2023/5/1 14:23:12, 38.30, 25.20, 186.38, 1837.13, 1240.23, 0.00, 0.00, 0.00, 11, 1
26000, 1682950994, 2023/5/1 14:23:14, 38.30, 25.20, 188.25, 1836.38, 1240.23, 0.00, 0.00, 0.00, 12, 1
27999, 1682950996, 2023/5/1 14:23:16, 38.30, 25.20, 190.13, 1836.19, 1240.23, 0.00, 0.00, 0.00, 13, 1
30000, 1682950998, 2023/5/1 14:23:18, 38.00, 25.20, 190.88, 1832.25, 1240.23, 0.00, 0.00, 0.00, 14, 1
32000, 1682951000, 2023/5/1 14:23:20, 38.00, 25.20, 192.38, 1831.31, 1240.23, 0.00, 0.00, 0.00, 15, 1
33999, 1682951002, 2023/5/1 14:23:22, 38.00, 25.20, 193.50, 1830.19, 1240.23, 0.00, 0.00, 0.00, 16, 1
35998, 1682951004, 2023/5/1 14:23:24, 38.50, 25.20, 194.81, 1829.44, 1240.23, 0.00, 0.00, 0.00, 17, 1
37999, 1682951006, 2023/5/1 14:23:26, 38.20, 25.20, 196.13, 1828.88, 1240.23, 0.00, 0.00, 0.00, 18, 1
39999, 1682951008, 2023/5/1 14:23:28, 38.10, 25.20, 198.19, 1829.63, 1240.23, 0.00, 0.00, 0.00, 19, 1
41999, 1682951010, 2023/5/1 14:23:30, 38.00, 25.20, 199.88, 1829.25, 1240.23, 0.00, 0.00, 0.00, 20, 1
43999, 1682951012, 2023/5/1 14:23:32, 37.90, 25.10, 201.38, 1829.63, 1240.23, 0.00, 0.00, 0.00, 21, 1
45999, 1682951014, 2023/5/1 14:23:34, 37.90, 25.10, 202.69, 1829.81, 1240.23, 0.00, 0.00, 0.00, 22, 1
48000, 1682951016, 2023/5/1 14:23:36, 37.80, 25.10, 204.00, 1830.19, 1240.23, 0.00, 0.00, 0.00, 23, 1
49999, 1682951018, 2023/5/1 14:23:38, 37.80, 25.00, 205.13, 1830.38, 1240.23, 0.00, 0.00, 0.00, 24, 1
51999, 1682951020, 2023/5/1 14:23:40, 37.80, 25.00, 206.63, 1831.50, 1240.23, 0.00, 0.00, 0.00, 25, 1
53999, 1682951022, 2023/5/1 14:23:42, 37.70, 25.00, 207.94, 1831.88, 1240.23, 0.00, 0.00, 0.00, 26, 1
55999, 1682951024, 2023/5/1 14:23:44, 37.60, 25.00, 209.06, 1832.63, 1240.23, 0.00, 0.00, 0.00, 27, 1
57999, 1682951026, 2023/5/1 14:23:46, 37.60, 25.00, 210.38, 1832.25, 1240.23, 0.00, 0.00, 0.00, 28, 1
60000, 1682951028, 2023/5/1 14:23:48, 37.50, 25.00, 211.50, 1832.44, 1240.23, 0.00, 0.00, 0.00, 29, 1
62000, 1682951030, 2023/5/1 14:23:50, 37.60, 25.00, 212.81, 1833.00, 1240.23, 0.00, 0.00, 0.00, 30, 1
64000, 1682951032, 2023/5/1 14:23:52, 37.60, 25.00, 213.94, 1833.00, 1240.23, 0.00, 0.00, 0.00, 31, 1
65999, 1682951034, 2023/5/1 14:23:54, 37.60, 25.00, 214.88, 1832.81, 1240.23, 0.00, 0.00, 0.00, 32, 1
67999, 1682951036, 2023/5/1 14:23:56, 37.50, 25.00, 216.00, 1833.19, 1240.23, 0.00, 0.00, 0.00, 33, 1
69999, 1682951038, 2023/5/1 14:23:58, 37.50, 25.00, 216.94, 1833.38, 1240.23, 0.00, 0.00, 0.00, 34, 1
71999, 1682951040, 2023/5/1 14:24:0, 37.60, 25.00, 217.88, 1833.75, 1240.23, 0.00, 0.00, 0.00, 35, 1
73999, 1682951042, 2023/5/1 14:24:2, 37.60, 25.00, 218.63, 1834.13, 1240.23, 0.00, 0.00, 0.00, 36, 1
76000, 1682951044, 2023/5/1 14:24:4, 37.60, 25.00, 219.75, 1834.69, 1240.23, 0.00, 0.00, 0.00, 37, 1
77999, 1682951046, 2023/5/1 14:24:6, 37.60, 25.00, 220.50, 1835.06, 1240.23, 0.00, 0.00, 0.00, 38, 1
80000, 1682951048, 2023/5/1 14:24:8, 37.60, 25.00, 221.06, 1835.63, 1240.23, 0.00, 0.00, 0.00, 39, 1
81999, 1682951050, 2023/5/1 14:24:10, 37.60, 25.00, 221.63, 1835.44, 1240.23, 0.00, 0.00, 0.00, 40, 1
83999, 1682951052, 2023/5/1 14:24:12, 37.60, 25.00, 222.19, 1834.31, 1240.23, 0.00, 0.00, 0.00, 41, 1
85999, 1682951054, 2023/5/1 14:24:14, 37.60, 25.00, 223.13, 1834.13, 1240.23, 0.00, 0.00, 0.00, 42, 1
87999, 1682951056, 2023/5/1 14:24:16, 37.60, 24.90, 223.88, 1834.13, 1240.23, 0.00, 0.00, 0.00, 43, 1
89999, 1682951058, 2023/5/1 14:24:18, 37.60, 24.90, 224.63, 1833.94, 1240.23, 0.00, 0.00, 0.00, 44, 1
92000, 1682951060, 2023/5/1 14:24:20, 37.60, 24.90, 225.00, 1833.75, 1240.23, 0.00, 0.00, 0.00, 45, 1
93999, 1682951062, 2023/5/1 14:24:22, 37.70, 24.90, 225.75, 1833.75, 1240.23, 0.00, 0.00, 0.00, 46, 1
95998, 1682951064, 2023/5/1 14:24:24, 37.70, 24.90, 226.31, 1833.56, 1240.23, 0.00, 0.00, 0.00, 47, 1
97999, 1682951066, 2023/5/1 14:24:26, 37.70, 24.90, 226.50, 1833.19, 1240.23, 0.00, 0.00, 0.00, 48, 1
99999, 1682951068, 2023/5/1 14:24:28, 37.70, 24.90, 227.06, 1833.19, 1240.23, 0.00, 0.00, 0.00, 49, 1
101999, 1682951070, 2023/5/1 14:24:30, 37.70, 24.80, 227.44, 1832.81, 1240.23, 0.00, 0.00, 0.00, 50, 1
103999, 1682951072, 2023/5/1 14:24:32, 37.70, 24.80, 227.63, 1831.88, 1240.23, 0.00, 0.00, 0.00, 51, 1
105999, 1682951074, 2023/5/1 14:24:34, 37.70, 24.80, 228.19, 1831.50, 1240.23, 0.00, 0.00, 0.00, 52, 1
108000, 1682951076, 2023/5/1 14:24:36, 37.70, 24.80, 228.56, 1831.88, 1240.23, 0.00, 0.00, 0.00, 53, 1
110000, 1682951078, 2023/5/1 14:24:38, 37.70, 24.80, 228.94, 1832.25, 1240.23, 0.00, 0.00, 0.00, 54, 1
111998, 1682951080, 2023/5/1 14:24:40, 37.70, 24.80, 229.31, 1833.00, 1240.23, 0.00, 0.00, 0.00, 55, 1
113999, 1682951082, 2023/5/1 14:24:42, 37.70, 24.80, 229.69, 1833.19, 1240.23, 0.00, 0.00, 0.00, 56, 1
115999, 1682951084, 2023/5/1 14:24:44, 37.70, 24.70, 230.06, 1833.94, 1240.23, 0.00, 0.00, 0.00, 57, 1
117999, 1682951086, 2023/5/1 14:24:46, 37.70, 24.70, 230.44, 1834.50, 1240.23, 0.00, 0.00, 0.00, 58, 1
119999, 1682951088, 2023/5/1 14:24:48, 37.70, 24.70, 231.00, 1834.69, 1240.23, 0.00, 0.00, 0.00, 59, 1
121999, 1682951090, 2023/5/1 14:24:50, 37.70, 24.70, 231.19, 1835.25, 1240.23, 0.00, 0.00, 0.00, 60, 1
