SN:3K430000011413 BD:Apr 19 2021 VC:7d9ffae MD5:34e03199e6006f2831fb02c414d62259
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,     RD0_raw_us,         LTC0_v,      LTC0_v_sd,         LTC1_v,      LTC1_v_sd,             HZ,          HZ_sd,         Batt_v,      Batt_v_sd,        BattPer,     BattPer_sd, Temp_Status_mA,Analyzer_Status_mA,       Fit_Flag,      MIU_VALVE,       MIU_DESC
08/09/2023 16:06:57.370, 2.00704e+0, 0.00000e+0, 4.97383e+2, 0.00000e+0, 1.37789e+4, 0.00000e+0, 2.03508e+0, 0.00000e+0, 5.04332e+2, 0.00000e+0, 5.00410e+2, 0.00000e+0, 3.47925e+1, 0.00000e+0, 3.35659e+1, 0.00000e+0, 3.23487e+0, 0.00000e+0, 3.13740e+0, 0.00000e+0, 0.00000e+0, -9.42040e-1, 0.00000e+0, -4.60116e+0, 0.00000e+0, 9.84252e-1, 0.00000e+0, 4.75741e+0, 0.00000e+0, 6.88932e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:06:58.364, 2.01876e+0, 0.00000e+0, 4.98124e+2, 0.00000e+0, 1.44276e+4, 0.00000e+0, 2.04831e+0, 0.00000e+0, 5.05416e+2, 0.00000e+0, 5.00394e+2, 0.00000e+0, 3.47903e+1, 0.00000e+0, 3.35658e+1, 0.00000e+0, 3.23541e+0, 0.00000e+0, 3.13929e+0, 0.00000e+0, 0.00000e+0, -9.42040e-1, 0.00000e+0, -4.60116e+0, 0.00000e+0, 1.01729e+0, 0.00000e+0, 4.75771e+0, 0.00000e+0, 6.89110e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:06:59.367, 2.01895e+0, 0.00000e+0, 4.97707e+2, 0.00000e+0, 1.44250e+4, 0.00000e+0, 2.04850e+0, 0.00000e+0, 5.04991e+2, 0.00000e+0, 5.00493e+2, 0.00000e+0, 3.47911e+1, 0.00000e+0, 3.35646e+1, 0.00000e+0, 3.23527e+0, 0.00000e+0, 3.13946e+0, 0.00000e+0, 0.00000e+0, -9.42079e-1, 0.00000e+0, -4.60073e+0, 0.00000e+0, 9.95025e-1, 0.00000e+0, 4.75800e+0, 0.00000e+0, 6.89283e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:00.367, 2.01974e+0, 0.00000e+0, 4.98591e+2, 0.00000e+0, 1.44494e+4, 0.00000e+0, 2.04936e+0, 0.00000e+0, 5.05901e+2, 0.00000e+0, 5.00440e+2, 0.00000e+0, 3.47909e+1, 0.00000e+0, 3.35523e+1, 0.00000e+0, 3.23567e+0, 0.00000e+0, 3.13903e+0, 0.00000e+0, 0.00000e+0, -9.42120e-1, 0.00000e+0, -4.60042e+0, 0.00000e+0, 9.97009e-1, 0.00000e+0, 4.75755e+0, 0.00000e+0, 6.89020e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:01.363, 2.01809e+0, 0.00000e+0, 4.95088e+2, 0.00000e+0, 1.44784e+4, 0.00000e+0, 2.04773e+0, 0.00000e+0, 5.02361e+2, 0.00000e+0, 5.00358e+2, 0.00000e+0, 3.47978e+1, 0.00000e+0, 3.35478e+1, 0.00000e+0, 3.23537e+0, 0.00000e+0, 3.13916e+0, 0.00000e+0, 0.00000e+0, -9.42120e-1, 0.00000e+0, -4.60042e+0, 0.00000e+0, 1.00908e+0, 0.00000e+0, 4.75759e+0, 0.00000e+0, 6.89041e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:02.365, 2.01817e+0, 0.00000e+0, 4.87758e+2, 0.00000e+0, 1.44276e+4, 0.00000e+0, 2.04772e+0, 0.00000e+0, 4.94898e+2, 0.00000e+0, 5.00388e+2, 0.00000e+0, 3.47999e+1, 0.00000e+0, 3.35499e+1, 0.00000e+0, 3.23501e+0, 0.00000e+0, 3.13921e+0, 0.00000e+0, 0.00000e+0, -9.42164e-1, 0.00000e+0, -4.60031e+0, 0.00000e+0, 1.00000e+0, 0.00000e+0, 4.75731e+0, 0.00000e+0, 6.88873e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:03.364, 2.01939e+0, 0.00000e+0, 4.82236e+2, 0.00000e+0, 1.44235e+4, 0.00000e+0, 2.04894e+0, 0.00000e+0, 4.89293e+2, 0.00000e+0, 5.00401e+2, 0.00000e+0, 3.47905e+1, 0.00000e+0, 3.35459e+1, 0.00000e+0, 3.23555e+0, 0.00000e+0, 3.13922e+0, 0.00000e+0, 0.00000e+0, -9.42164e-1, 0.00000e+0, -4.60031e+0, 0.00000e+0, 1.00402e+0, 0.00000e+0, 4.75743e+0, 0.00000e+0, 6.88947e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:04.366, 2.01902e+0, 0.00000e+0, 4.77622e+2, 0.00000e+0, 1.44843e+4, 0.00000e+0, 2.04870e+0, 0.00000e+0, 4.84642e+2, 0.00000e+0, 5.00459e+2, 0.00000e+0, 3.47862e+1, 0.00000e+0, 3.35444e+1, 0.00000e+0, 3.23469e+0, 0.00000e+0, 3.13828e+0, 0.00000e+0, 0.00000e+0, -9.42190e-1, 0.00000e+0, -4.60029e+0, 0.00000e+0, 9.91080e-1, 0.00000e+0, 4.75800e+0, 0.00000e+0, 6.89287e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:05.369, 2.01692e+0, 0.00000e+0, 4.76078e+2, 0.00000e+0, 1.44216e+4, 0.00000e+0, 2.04643e+0, 0.00000e+0, 4.83044e+2, 0.00000e+0, 5.00349e+2, 0.00000e+0, 3.47803e+1, 0.00000e+0, 3.35393e+1, 0.00000e+0, 3.23563e+0, 0.00000e+0, 3.13837e+0, 0.00000e+0, 0.00000e+0, -9.42211e-1, 0.00000e+0, -4.60029e+0, 0.00000e+0, 1.00402e+0, 0.00000e+0, 4.75830e+0, 0.00000e+0, 6.89467e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:06.367, 2.01847e+0, 0.00000e+0, 4.76605e+2, 0.00000e+0, 1.44143e+4, 0.00000e+0, 2.04799e+0, 0.00000e+0, 4.83576e+2, 0.00000e+0, 5.00375e+2, 0.00000e+0, 3.47766e+1, 0.00000e+0, 3.35294e+1, 0.00000e+0, 3.23533e+0, 0.00000e+0, 3.13947e+0, 0.00000e+0, 0.00000e+0, -9.42232e-1, 0.00000e+0, -4.60032e+0, 0.00000e+0, 9.94036e-1, 0.00000e+0, 4.75681e+0, 0.00000e+0, 6.88576e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:07.366, 2.01824e+0, 0.00000e+0, 4.75641e+2, 0.00000e+0, 1.44646e+4, 0.00000e+0, 2.04786e+0, 0.00000e+0, 4.82622e+2, 0.00000e+0, 5.00404e+2, 0.00000e+0, 3.47745e+1, 0.00000e+0, 3.35312e+1, 0.00000e+0, 3.23543e+0, 0.00000e+0, 3.13929e+0, 0.00000e+0, 0.00000e+0, -9.42232e-1, 0.00000e+0, -4.60032e+0, 0.00000e+0, 1.01112e+0, 0.00000e+0, 4.75665e+0, 0.00000e+0, 6.88483e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
08/09/2023 16:07:08.365, 2.01721e+0, 0.00000e+0, 4.71785e+2, 0.00000e+0, 1.44416e+4, 0.00000e+0, 2.04677e+0, 0.00000e+0, 4.78698e+2, 0.00000e+0, 5.00382e+2, 0.00000e+0, 3.47722e+1, 0.00000e+0, 3.35215e+1, 0.00000e+0, 3.23504e+0, 0.00000e+0, 3.13873e+0, 0.00000e+0, 0.00000e+0, -9.42249e-1, 0.00000e+0, -4.60037e+0, 0.00000e+0, 9.95025e-1, 0.00000e+0, 4.75723e+0, 0.00000e+0, 6.88828e+1, 0.00000e+0, 2.00000e+1, 1.80000e+1, 2, -1, Disabled
